id,stack_id,name,rowrange,depth,stackdesignation_id,stackdesignationpriority,maxheight,deletedon
5272677,5269539,QL1-16,"[0,6096)",0,,0,,
5272678,5269539,QL1-15,"[6096,12192)",0,,0,,
5272679,5269539,QL1-14,"[12192,18288)",0,,0,,
5272680,5269539,QL1-13,"[18288,24384)",0,,0,,
5272681,5269539,QL1-12,"[24384,30480)",0,,0,,
5272682,5269539,QL1-11,"[30480,36576)",0,,0,,
5272683,5269539,QL1-10,"[36576,42672)",0,,0,,
5272684,5269539,QL1-9,"[42672,48768)",0,,0,,
5272685,5269539,QL1-8,"[48768,54864)",0,,0,,
5272686,5269539,QL1-7,"[54864,60960)",0,,0,,
2350835,2350829,702-5,"[24400,30500)",0,,0,,
2350836,2350829,702-6,"[30500,36600)",0,,0,,
2350837,2350829,702-7,"[36600,42700)",0,,0,,
2350839,2350838,703-1,"[0,6100)",0,,0,,
2350840,2350838,703-2,"[6100,12200)",0,,0,,
2350841,2350838,703-3,"[12200,18300)",0,,0,,
2350842,2350838,703-4,"[18300,24400)",0,,0,,
2350843,2350838,703-5,"[24400,30500)",0,,0,,
2350844,2350838,703-6,"[30500,36600)",0,,0,,
2350845,2350838,703-7,"[36600,42700)",0,,0,,
2350847,2350846,704-1,"[0,6100)",0,,0,,
2350848,2350846,704-2,"[6100,12200)",0,,0,,
2350849,2350846,704-3,"[12200,18300)",0,,0,,
2350850,2350846,704-4,"[18300,24400)",0,,0,,
2350851,2350846,704-5,"[24400,30500)",0,,0,,
2350852,2350846,704-6,"[30500,36600)",0,,0,,
2350853,2350846,704-7,"[36600,42700)",0,,0,,
2350855,2350854,705-1,"[0,6100)",0,,0,,
2350856,2350854,705-2,"[6100,12200)",0,,0,,
2351082,2351074,106-8,"[42700,48800)",0,16549965,0,,
2351084,2351074,106-10,"[54900,61000)",0,16549965,0,,
2350881,2350880,709-1,"[0,6100)",0,18313050,0,,
2350860,2350854,705-6,"[30500,36600)",0,,0,,
2350861,2350854,705-7,"[36600,42700)",0,,0,,
2350864,2350862,706-4,"[18300,24400)",0,,0,,
5272687,5269539,QL1-6,"[60960,67056)",0,,0,,
2350866,2350862,706-6,"[30500,36600)",0,,0,,
2351634,2351632,210-11,"[6100,12200)",0,14553856,0,,
2351483,2351482,144-9,"[48800,54900)",0,,0,,
2351700,2351698,215-11,"[6100,12200)",0,15240975,0,,
2351485,2351482,144-11,"[61000,67100)",0,,0,,
2351486,2351482,144-12,"[67100,73200)",0,,0,,
2350857,2350854,705-3,"[12200,18300)",0,15316959,0,,
2351691,2351685,214-7,"[30500,36600)",0,12367494,0,,
2351313,2351307,124-10,"[54900,61000)",0,,0,,
2351312,2351307,124-9,"[48800,54900)",0,,0,,
2351315,2351307,124-12,"[67100,73200)",0,,0,,
2351484,2351482,144-10,"[54900,61000)",0,14553901,0,,
2350867,2350862,706-7,"[36600,42700)",0,,0,,
2350858,2350854,705-4,"[18300,24400)",0,15316959,0,,
2351800,2351790,222-4,"[48800,54900)",0,14606561,0,,
2351539,2351527,202-1,"[67100,73200)",0,,0,,
2350859,2350854,705-5,"[24400,30500)",0,15316959,0,,
2351416,2351408,135-12,"[67100,73200)",0,,0,,
2351314,2351307,124-11,"[61000,67100)",0,,0,,
2351488,2351487,199-12,"[0,6100)",0,,0,,
2351489,2351487,199-11,"[6100,12200)",0,,0,,
2351490,2351487,199-10,"[12200,18300)",0,,0,,
2350883,2350880,709-3,"[12200,18300)",0,18313050,0,,
2350885,2350880,709-5,"[24400,30500)",0,18313050,0,,
2351695,2351685,214-3,"[54900,61000)",0,12367494,0,,
2350891,2350888,710-3,"[12200,18300)",0,18313050,0,,
2351697,2351685,214-1,"[67100,73200)",0,12367494,0,,
2350911,2350905,712-6,"[30500,36600)",0,18313050,0,,
2351357,2351353,129-8,"[42700,48800)",0,,0,,
2350869,2350868,707-3,"[12200,18300)",0,18330216,0,,
2350871,2350868,707-5,"[24400,30500)",0,18330216,0,,
2350872,2350868,707-6,"[30500,36600)",0,18330216,0,,
2351358,2351353,129-9,"[48800,54900)",0,,0,,
2351359,2351353,129-10,"[54900,61000)",0,,0,,
2351360,2351353,129-11,"[61000,67100)",0,,0,,
2351643,2351632,210-2,"[61000,67100)",0,,0,,
2350941,2350937,716-4,"[18300,24400)",0,15699829,0,,
5272688,5269539,QL1-5,"[67056,73152)",0,,0,,
5272689,5269539,QL1-4,"[73152,79248)",0,,0,,
5272690,5269539,QL1-3,"[79248,85344)",0,,0,,
2350873,2350868,707-7,"[36600,42700)",0,18330216,0,,
2350875,2350874,708-3,"[12200,18300)",0,18330216,0,,
2350877,2350874,708-5,"[24400,30500)",0,18330216,0,,
2351631,2351619,209-1,"[67100,73200)",0,14069903,0,,
2350878,2350874,708-6,"[30500,36600)",0,18330216,0,,
2350879,2350874,708-7,"[36600,42700)",0,18330216,0,,
2351195,2351193,115-2,"[6100,12200)",0,18366782,0,,
2351812,2351804,223-5,"[42700,48800)",0,,0,,
2350915,2350913,713-2,"[6100,12200)",0,18313050,0,,
2350923,2350921,714-2,"[6100,12200)",0,18313050,0,,
2350954,2350953,718-1,"[0,6100)",0,,0,,
2350955,2350953,718-2,"[6100,12200)",0,,0,,
2350956,2350953,718-3,"[12200,18300)",0,,0,,
2350957,2350953,718-4,"[18300,24400)",0,,0,,
2350958,2350953,718-5,"[24400,30500)",0,,0,,
2350959,2350953,718-6,"[30500,36600)",0,,0,,
2350960,2350953,718-7,"[36600,42700)",0,,0,,
2351693,2351685,214-5,"[42700,48800)",0,12367494,0,,
2351282,2351272,121-10,"[54900,61000)",0,,0,,
5272691,5269539,QL1-2,"[85344,91440)",0,,0,,
5272692,5269539,QL1-1,"[91440,97536)",0,,0,,
2351280,2351272,121-8,"[42700,48800)",0,,0,,
2351554,2351553,204-12,"[0,6100)",0,17487479,0,,
2350826,2350821,701-5,"[24400,30500)",0,,0,,
2350828,2350821,701-7,"[36600,42700)",0,,0,,
2351556,2351553,204-10,"[12200,18300)",0,17487479,0,,
2351558,2351553,204-8,"[24400,30500)",0,17487479,0,,
2350925,2350921,714-4,"[18300,24400)",0,18313050,0,,
2350927,2350921,714-6,"[30500,36600)",0,18313050,0,,
2350948,2350945,717-3,"[12200,18300)",0,18313050,0,,
2351638,2351632,210-7,"[30500,36600)",0,15239753,0,,
2351703,2351698,215-8,"[24400,30500)",0,15240975,0,,
2351516,2351513,201-10,"[12200,18300)",0,18354098,0,,
2351541,2351540,203-12,"[0,6100)",0,,0,,
2351518,2351513,201-8,"[24400,30500)",0,18354098,0,,
2351542,2351540,203-11,"[6100,12200)",0,,0,,
2351621,2351619,209-11,"[6100,12200)",0,14069903,0,,
2351543,2351540,203-10,"[12200,18300)",0,,0,,
2351622,2351619,209-10,"[12200,18300)",0,14069903,0,,
2351544,2351540,203-9,"[18300,24400)",0,,0,,
2351623,2351619,209-9,"[18300,24400)",0,14069903,0,,
2351545,2351540,203-8,"[24400,30500)",0,,0,,
2351624,2351619,209-8,"[24400,30500)",0,14069903,0,,
2351546,2351540,203-7,"[30500,36600)",0,,0,,
2351709,2351698,215-2,"[61000,67100)",0,,0,,
2351547,2351540,203-6,"[36600,42700)",0,,0,,
2351548,2351540,203-5,"[42700,48800)",0,,0,,
2351549,2351540,203-4,"[48800,54900)",0,,0,,
2351550,2351540,203-3,"[54900,61000)",0,,0,,
2351551,2351540,203-2,"[61000,67100)",0,,0,,
2351197,2351193,115-4,"[18300,24400)",0,18366782,0,,
2351203,2351193,115-10,"[54900,61000)",0,18366782,0,,
2351327,2351326,126-5,"[24400,30500)",0,,0,,
2351328,2351326,126-6,"[30500,36600)",0,,0,,
2351329,2351326,126-7,"[36600,42700)",0,,0,,
2351331,2351326,126-9,"[48800,54900)",0,,0,,
2351704,2351698,215-7,"[30500,36600)",0,15240975,0,,
2351705,2351698,215-6,"[36600,42700)",0,15240975,0,,
2351333,2351326,126-11,"[61000,67100)",0,,0,,
2351063,2351061,105-2,"[6100,12200)",0,,0,,
2351706,2351698,215-5,"[42700,48800)",0,15240975,0,,
2351320,2351316,125-7,"[36600,42700)",0,15432743,0,,
2351043,2351034,103-8,"[42700,48800)",0,15530777,0,,
2351045,2351034,103-10,"[54900,61000)",0,15530777,0,,
2351023,2351021,102-2,"[6100,12200)",0,14030547,0,,
2351025,2351021,102-4,"[18300,24400)",0,14030547,0,,
2351027,2351021,102-6,"[30500,36600)",0,14030547,0,,
2351047,2351034,103-12,"[67100,73200)",0,15530777,0,,
2351322,2351316,125-9,"[48800,54900)",0,,0,,
2350971,2350970,720-1,"[0,6100)",0,5455713,0,,
2351029,2351021,102-8,"[42700,48800)",0,14030547,0,,
2350972,2350970,720-2,"[6100,12200)",0,5455713,0,,
2350973,2350970,720-3,"[12200,18300)",0,5455713,0,,
2350974,2350970,720-4,"[18300,24400)",0,5455713,0,,
2350975,2350970,720-5,"[24400,30500)",0,5455713,0,,
2350943,2350937,716-6,"[30500,36600)",0,15699829,0,,
2350979,2350978,721-5,"[24400,30500)",0,5456154,0,,
2351376,2351371,131-9,"[48800,54900)",0,16536109,0,,
2352043,2352035,981-3,"[42700,48800)",0,13818230,0,,
2350831,2350829,702-1,"[0,6100)",0,,0,,
2352044,2352035,981-2,"[48800,54900)",0,13818230,0,,
2352045,2352035,981-1,"[54900,61000)",0,13818230,0,,
2352059,2352058,983-10,"[0,6100)",0,13818559,0,,
2352060,2352058,983-9,"[6100,12200)",0,13818559,0,,
2352064,2352058,983-5,"[30500,36600)",0,13818559,0,,
2352074,2352069,984-6,"[24400,30500)",0,13818559,0,,
2350980,2350978,721-6,"[30500,36600)",0,5456154,0,,
2352075,2352069,984-5,"[30500,36600)",0,13818559,0,,
2352076,2352069,984-4,"[36600,42700)",0,13818559,0,,
2352078,2352069,984-2,"[48800,54900)",0,13818559,0,,
2352079,2352069,984-1,"[54900,61000)",0,13818559,0,,
2351065,2351061,105-4,"[18300,24400)",0,,0,,
2351574,2351566,205-5,"[42700,48800)",0,13592782,0,,
2351067,2351061,105-6,"[30500,36600)",0,,0,,
2351687,2351685,214-11,"[6100,12200)",0,12367494,0,,
2351069,2351061,105-8,"[42700,48800)",0,,0,,
2350824,2350821,701-3,"[12200,18300)",0,,0,,
2350882,2350880,709-2,"[6100,12200)",0,18313050,0,,
