id,stack_id,rowrange,depth,heightrange,terminalstopoveraction_id,put_handling_id,put_correction_id,pull_handling_id,pull_correction_id,yardmovehandling_id,container_number,container_relative_marker_position,container_height,marker_id,reachstacker_moves,crane_moves,locationinformation_id,straddlecarrier_moves
3920629,2352069,"[10,12202)",0,"[0,2896)",3122918,3920475,,5347663,,,,1,0,,0,0,3920628,0
4159223,2351021,"[12202,24394)",0,"[0,2896)",3119380,4159212,,3119385,,,,1,0,,0,0,4159222,0
8281557,2352127,"[0,1)",0,"[0,1)",8223917,,8281555,8238361,,,,1,0,,,,,
4146707,2351245,"[61002,73194)",0,"[0,2621)",3106620,4146688,,6423134,,,,1,0,,0,0,4146706,0
5620843,2387709,"[0,1)",0,"[0,1)",5563630,5614146,,5563627,,,,1,0,,0,0,5620842,0
4131342,2350929,"[2,6098)",0,"[5242,7863)",3125580,4131327,,,4906863,,,1,0,,0,0,4131341,0
3559035,2351477,"[36602,42698)",0,"[0,2621)",3119416,,3559033,3119421,,,,1,0,,0,0,3559034,0
3274225,2352135,"[0,1)",0,"[0,1)",3237721,3237717,,,3295559,,,1,0,,0,0,3274226,0
7492246,2351390,"[48802,54898)",0,"[0,2621)",3367424,7492206,,7621339,,,,1,0,,0,0,7492245,0
7102088,2351316,"[24402,36594)",0,"[0,2896)",4780636,7101846,,7211763,,,,1,0,,0,0,7102087,0
4136119,2350838,"[18302,24398)",0,"[2621,5242)",3161008,4136102,,5571842,,,,1,0,,0,0,4136118,0
4139264,2351513,"[24406,36598)",0,"[2896,5792)",3100728,4139252,,5759962,,,,1,0,,0,0,4139263,0
8886231,2350838,"[36602,42698)",0,"[2621,5242)",3161008,8886147,,8887042,,,,1,0,,0,0,8886230,0
4136244,2351435,"[30502,36598)",0,"[5242,7863)",3108147,4136228,,6166356,,,,1,0,,0,0,4136243,0
6096768,2351399,"[61002,73194)",0,"[2621,5242)",5360377,5360374,,,6515799,,,1,0,,0,0,6096773,0
4143577,2351579,"[12206,24398)",0,"[0,2896)",3254929,4143555,,,6515800,,,1,0,,1,1,4143576,1
